estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
648,327,32,"(200, 300)","(2, 128)",1900,0.7383435039488635,12.669438845700029,GTI_BW
649,327,32,"(200, 300)","(4, 2)",7500,2.305496143939394,4.057433752379292,Compute
650,327,32,"(200, 300)","(4, 4)",3750,1.2497982299999997,7.484726450924807,Compute
651,327,32,"(200, 300)","(4, 8)",1900,0.7383435039488635,12.669438845700029,GTI_BW
652,327,32,"(200, 300)","(4, 16)",1900,0.7383435039488635,12.669438845700029,GTI_BW
653,327,32,"(200, 300)","(4, 32)",1900,0.7383435039488635,12.669438845700029,GTI_BW
654,327,32,"(200, 300)","(4, 64)",1900,0.7383435039488635,12.669438845700029,GTI_BW
655,327,32,"(200, 300)","(8, 1)",7500,2.305496143939394,4.057433752379292,Compute
656,327,32,"(200, 300)","(8, 2)",3750,1.2497982299999997,7.484726450924807,Compute
657,327,32,"(200, 300)","(8, 4)",1875,0.7395254403124999,12.649190089318811,GTI_BW
658,327,32,"(200, 300)","(8, 8)",1875,0.7395254403124999,12.649190089318811,GTI_BW
659,327,32,"(200, 300)","(8, 16)",1875,0.7395254403124999,12.649190089318811,GTI_BW
660,327,32,"(200, 300)","(8, 32)",1875,0.7395254403124999,12.649190089318811,GTI_BW
